INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BANKINDIA,27-Mar-2014,0,XX,191.45,202.9,189.2,199.9,199.9,9789,38845.23,10016000,48000,10-MAR-2014,
FUTSTK,BANKINDIA,24-Apr-2014,0,XX,191.9,204.2,191.8,201.3,201.3,197,788.19,434000,52000,10-MAR-2014,
FUTSTK,BANKINDIA,29-May-2014,0,XX,0,0,0,172.25,203.3,0,0,0,0,10-MAR-2014,
FUTSTK,BATAINDIA,27-Mar-2014,0,XX,1065.45,1105,1060.7,1099.05,1099.05,1535,4182.96,448750,22500,10-MAR-2014,
FUTSTK,BATAINDIA,24-Apr-2014,0,XX,1072.55,1110,1072.55,1107.95,1107.95,21,57.53,22000,1250,10-MAR-2014,
FUTSTK,BATAINDIA,29-May-2014,0,XX,0,0,0,1086.3,1117.9,0,0,500,0,10-MAR-2014,
FUTSTK,BHARATFORG,27-Mar-2014,0,XX,395.95,405.35,389.25,389.85,389.85,1661,6548.7,2258000,283000,10-MAR-2014,
FUTSTK,BHARATFORG,24-Apr-2014,0,XX,404,407,391.8,392.2,392.2,30,118.97,37000,12000,10-MAR-2014,
FUTSTK,BHARATFORG,29-May-2014,0,XX,0,0,0,400.5,395.8,0,0,1000,0,10-MAR-2014,
FUTSTK,BHARTIARTL,27-Mar-2014,0,XX,303.25,311.15,301.9,306.6,306.6,8937,27515.55,10031000,-1985000,10-MAR-2014,
FUTSTK,BHARTIARTL,24-Apr-2014,0,XX,307.75,313,307,309.3,309.3,219,678.75,393000,58000,10-MAR-2014,
FUTSTK,BHARTIARTL,29-May-2014,0,XX,313.3,313.3,310.5,312.15,311.95,4,12.47,6000,4000,10-MAR-2014,
FUTSTK,BHEL,27-Mar-2014,0,XX,180.25,187.75,179.35,184.35,184.35,7689,28455.12,37922000,438000,10-MAR-2014,
FUTSTK,BHEL,24-Apr-2014,0,XX,177.5,184.65,177.5,181.35,181.35,485,1762.93,1776000,338000,10-MAR-2014,
FUTSTK,BHEL,29-May-2014,0,XX,179.7,182.75,178.2,179.2,179.2,58,209.26,206000,54000,10-MAR-2014,
FUTSTK,BIOCON,27-Mar-2014,0,XX,439.95,449.45,432.15,433.95,433.95,2145,9437.59,2846000,182000,10-MAR-2014,
FUTSTK,BIOCON,24-Apr-2014,0,XX,443.05,448.8,435.6,436.5,436.5,27,118.8,67000,9000,10-MAR-2014,
FUTSTK,BIOCON,29-May-2014,0,XX,0,0,0,449.65,440.7,0,0,0,0,10-MAR-2014,
FUTSTK,BPCL,27-Mar-2014,0,XX,414.35,424.1,409.65,419.85,419.85,3002,12532.87,2671000,-46000,10-MAR-2014,
FUTSTK,BPCL,24-Apr-2014,0,XX,415.9,426.3,413,422.65,422.65,57,239.46,88000,15000,10-MAR-2014,
FUTSTK,BPCL,29-May-2014,0,XX,424,424,424,424,424,1,4.24,1000,1000,10-MAR-2014,
FUTSTK,CAIRN,27-Mar-2014,0,XX,331.45,334.8,328.55,329.5,329.5,1498,4965.01,5837000,206000,10-MAR-2014,
FUTSTK,CAIRN,24-Apr-2014,0,XX,336.95,336.95,331.5,331.95,331.95,45,150.29,67000,25000,10-MAR-2014,
FUTSTK,CAIRN,29-May-2014,0,XX,0,0,0,331.6,334.45,0,0,0,0,10-MAR-2014,
FUTSTK,CANBK,27-Mar-2014,0,XX,237.5,242.4,236.4,239,239,8500,20391.35,9485000,-31000,10-MAR-2014,
FUTSTK,CANBK,24-Apr-2014,0,XX,238.5,244,238.5,240.75,240.75,179,432.13,352000,70000,10-MAR-2014,
FUTSTK,CANBK,29-May-2014,0,XX,244,244,244,244,244,1,2.44,2000,1000,10-MAR-2014,
FUTSTK,CENTURYTEX,27-Mar-2014,0,XX,339.35,349,338.1,344.9,344.9,3075,10590.95,4914000,98000,10-MAR-2014,
FUTSTK,CENTURYTEX,24-Apr-2014,0,XX,344.6,350.9,344.6,346.9,346.9,29,100.57,45000,5000,10-MAR-2014,
FUTSTK,CENTURYTEX,29-May-2014,0,XX,0,0,0,325,350.95,0,0,0,0,10-MAR-2014,
FUTSTK,CESC,27-Mar-2014,0,XX,492.2,498.3,471.3,481.6,481.6,994,4782.42,765000,-74000,10-MAR-2014,
FUTSTK,CESC,24-Apr-2014,0,XX,485,485,475.1,485,485,8,38.48,8000,0,10-MAR-2014,
FUTSTK,CESC,29-May-2014,0,XX,0,0,0,479.45,489.75,0,0,0,0,10-MAR-2014,
FUTSTK,CIPLA,27-Mar-2014,0,XX,382.4,382.4,376.55,377.8,377.8,5025,9514.65,6951500,140500,10-MAR-2014,
FUTSTK,CIPLA,24-Apr-2014,0,XX,384.8,384.9,379.25,380.25,380.25,135,257.22,143500,31500,10-MAR-2014,
FUTSTK,CIPLA,29-May-2014,0,XX,0,0,0,384.55,383.75,0,0,0,0,10-MAR-2014,
FUTSTK,COALINDIA,27-Mar-2014,0,XX,264,264.7,257.95,259.25,259.25,3947,10303.05,7054000,583000,10-MAR-2014,
FUTSTK,COALINDIA,24-Apr-2014,0,XX,263.2,265.4,260.4,260.75,260.75,70,183.79,131000,23000,10-MAR-2014,
FUTSTK,COALINDIA,29-May-2014,0,XX,273.55,273.55,273.55,273.55,264.55,1,2.73,3000,1000,10-MAR-2014,
FUTSTK,COLPAL,27-Mar-2014,0,XX,1338,1345.1,1314,1328.4,1328.4,388,1288.45,312000,38000,10-MAR-2014,
FUTSTK,COLPAL,24-Apr-2014,0,XX,1334,1340,1320.1,1332.7,1332.7,117,390.49,32250,25500,10-MAR-2014,
FUTSTK,COLPAL,29-May-2014,0,XX,0,0,0,1344.85,1347.55,0,0,0,0,10-MAR-2014,
FUTSTK,CROMPGREAV,27-Mar-2014,0,XX,143.2,152.75,143.2,151.15,151.15,3543,21157.83,7112000,-68000,10-MAR-2014,
FUTSTK,CROMPGREAV,24-Apr-2014,0,XX,147,153,146.8,151.35,151.35,92,550.81,384000,172000,10-MAR-2014,
FUTSTK,CROMPGREAV,29-May-2014,0,XX,0,0,0,128.9,155.8,0,0,0,0,10-MAR-2014,
FUTSTK,DABUR,27-Mar-2014,0,XX,172.15,174.25,172.15,174,174,472,1636.16,2408000,-48000,10-MAR-2014,
FUTSTK,DABUR,24-Apr-2014,0,XX,173.9,173.9,173.9,173.9,175.05,1,3.47,20000,-2000,10-MAR-2014,
