Date,Open,High,Low,Close
17-July-2008,3904.05,3971.72,3882.32,3952.41,
18-July-2008,3986.22,4109.49,3949.71,4093.84,
21-July-2008,4133.56,4156.05,4071.60,4146.43,
22-July-2008,4147.08,4257.77,4136.11,4237.68,
23-July-2008,4374.90,4515.18,4374.90,4500.99,
24-July-2008,4542.98,4570.42,4411.02,4455.83,
25-July-2008,4366.42,4386.36,4305.65,4325.81,
28-July-2008,4322.75,4367.90,4310.26,4345.09,
29-July-2008,4274.16,4288.32,4158.16,4177.36,
30-July-2008,4235.36,4339.51,4235.36,4329.58,
31-July-2008,4352.83,4352.83,4293.58,4343.32,
1-August-2008,4264.55,4450.62,4252.98,4443.70,
4-August-2008,4430.94,4486.35,4417.70,4452.20,
5-August-2008,4449.66,4571.04,4444.64,4564.10,
6-August-2008,4652.06,4689.07,4560.91,4572.59,
7-August-2008,4559.85,4633.84,4549.89,4585.23,
8-August-2008,4562.13,4612.93,4517.89,4598.09,
11-August-2008,4669.39,4705.22,4665.97,4698.86,
12-August-2008,4719.12,4720.37,4592.03,4616.13,
13-August-2008,4570.97,4639.44,4560.80,4589.60,
14-August-2008,4572.47,4573.76,4463.71,4474.28,
18-August-2008,4463.51,4502.68,4424.61,4437.27,
19-August-2008,4401.86,4425.80,4353.86,4409.51,
20-August-2008,4432.09,4472.95,4430.05,4453.50,
21-August-2008,4444.70,4444.70,4310.98,4323.63,
22-August-2008,4297.20,4372.18,4291.16,4364.10,
25-August-2008,4429.87,4444.95,4369.33,4378.07,
26-August-2008,4345.96,4390.39,4329.94,4385.74,
27-August-2008,4409.25,4409.25,4327.58,4337.83,
28-August-2008,4338.01,4352.93,4258.53,4270.24,
29-August-2008,4333.74,4426.06,4333.74,4420.41,
1-September-2008,4380.24,4417.47,4345.21,4404.86,
2-September-2008,4433.98,4576.22,4420.59,4559.30,
4-September-2008,4521.66,4544.52,4477.02,4516.02,
5-September-2008,4426.76,4436.95,4390.01,4400.66,
8-September-2008,4539.65,4577.83,4516.18,4523.21,
9-September-2008,4497.45,4532.24,4459.41,4506.10,
10-September-2008,4459.56,4502.77,4427.41,4443.21,
11-September-2008,4413.42,4413.42,4332.22,4347.46,
12-September-2008,4379.68,4381.95,4241.20,4259.73,
15-September-2008,4166.10,4166.10,3992.63,4106.32,
16-September-2008,3974.86,4107.79,3959.56,4098.62,
17-September-2008,4128.99,4128.99,3984.32,4010.11,
18-September-2008,3852.58,4030.59,3793.17,4022.29,
19-September-2008,4150.61,4238.83,4122.58,4225.75,
22-September-2008,4273.04,4275.91,4192.01,4210.68,
23-September-2008,4138.28,4209.34,4097.04,4104.96,
24-September-2008,4120.87,4182.77,4111.36,4138.78,
25-September-2008,4147.11,4147.11,4066.73,4095.84,
26-September-2008,4081.68,4081.68,3949.72,3963.80,
29-September-2008,3966.83,3966.83,3749.97,3807.15,
30-September-2008,3680.04,3919.00,3672.53,3881.11,
1-October-2008,3921.59,3975.16,3834.15,3930.58,
3-October-2008,3888.73,3918.80,3764.74,3778.57,
6-October-2008,3714.59,3714.59,3534.33,3551.81,
7-October-2008,3620.15,3663.12,3459.30,3514.86,
8-October-2008,3408.42,3415.31,3211.49,3391.82,
10-October-2008,3197.60,3262.81,3070.11,3140.10,
13-October-2008,3218.56,3376.89,3218.56,3365.70,
14-October-2008,3491.03,3536.18,3395.45,3414.43,
15-October-2008,3349.84,3349.84,3219.34,3232.28,
16-October-2008,3083.36,3225.13,3010.22,3175.02,
17-October-2008,3224.19,3237.41,2985.13,3004.89,
20-October-2008,3054.52,3153.95,3008.46,3065.07,
21-October-2008,3115.53,3201.66,3073.54,3188.54,
22-October-2008,3129.84,3135.30,3020.12,3031.65,
23-October-2008,2903.07,3044.82,2885.86,2906.88,
24-October-2008,2842.14,2849.46,2550.39,2586.19,
27-October-2008,2553.39,2589.47,2290.50,2519.06,
28-October-2008,2649.49,2682.24,2638.95,2672.15,
29-October-2008,2752.51,2752.51,2633.03,2678.96,
31-October-2008,2755.97,2893.09,2755.97,2873.31,
3-November-2008,2984.72,3039.22,2965.77,3029.40,
4-November-2008,3021.28,3139.05,2968.50,3129.73,
5-November-2008,3215.55,3222.61,2974.32,2993.66,
6-November-2008,2894.23,2994.61,2857.40,2889.58,
7-November-2008,2865.43,2984.60,2865.43,2959.25,
10-November-2008,3011.96,3128.44,2998.11,3119.39,
11-November-2008,3086.45,3086.45,2914.22,2924.79,
12-November-2008,2883.56,2948.98,2793.65,2839.62,
14-November-2008,2911.79,2928.92,2767.92,2794.14,
17-November-2008,2798.26,2806.99,2665.72,2754.68,
18-November-2008,2697.67,2721.38,2639.01,2654.09,
19-November-2008,2663.29,2736.10,2593.55,2605.99,
20-November-2008,2505.27,2537.91,2472.61,2512.66,
21-November-2008,2512.69,2645.24,2495.11,2626.26,
24-November-2008,2615.34,2663.04,2569.31,2626.58,
25-November-2008,2696.76,2703.54,2560.64,2572.69,
26-November-2008,2594.31,2664.13,2553.98,2655.13,
28-November-2008,2617.51,2679.30,2614.00,2668.26,
